,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
163,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block132_input,3.0,9,True,False,21,12.0,0.02,DUP2 PUSH ffffffffffffffffffffffffffffffffffffffff AND ,3,3.0,1,1,23.0,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP3', 'AND']",10,-13.0
164,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block157_input,7.0,16,True,False,16,0.0,0.078,SWAP5 POP POP POP POP POP SWAP1 ,7,7.0,0,0,7.0,"['SWAP6', 'SWAP5', 'POP', 'POP', 'POP', 'POP', 'POP']",7,0.0
165,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block96_input,22.0,66,True,False,78,12.0,2.663,PUSH 40 MLOAD PUSH 20 PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP3 MSTORE DUP2 PUSH 4 ADD MSTORE PUSH 56616c696461746f72207775743f000000000000000000000000000000000000 PUSH e PUSH 24 DUP4 ADD MSTORE PUSH 44 DUP3 ADD MSTORE PUSH 64 ADD ,22,22.0,9,9,93.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH14', 'PUSH1', 'SHL', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",52,-41.0
166,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block8_input,3.0,5006,True,False,5006,0.0,0.022,PUSH 0 DUP6 SSTORE ,3,3.0,1,1,4.0,"['PUSH1', 'DUP6', 'SSTORE']",4,0.0
167,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block193_input,10.0,27,True,False,35,8.0,7.876,SWAP4 PUSH 40 ADD CALLDATALOAD SWAP4 SWAP5 POP POP POP SWAP3 ,13,10.0,2,1,11.0,"['SWAP2', 'POP', 'PUSH1', 'DUP5', 'ADD', 'CALLDATALOAD', 'SWAP1', 'POP', 'SWAP3', 'POP', 'SWAP3', 'POP', 'SWAP3']",14,3.0
168,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block99_input,29.0,810,False,False,849,39.0,49.981,PUSH 40 PUSH 0 PUSH 5 PUSH 20 MSTORE KECCAK256 DUP1 PUSH 20 MSTORE SLOAD DUP3 DUP2 PUSH ffffffffffffffffffffffffffffffffffffffff DUP8 AND PUSH 0 SWAP8 SWAP8 MSTORE SWAP2 LT ISZERO SWAP2 CALLER SWAP3 SWAP3 PUSH 0 MSTORE SWAP2 ,29,29.0,10,5,56.0,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP5', 'AND', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'DUP1', 'DUP4', 'KECCAK256', 'CALLER', 'DUP5', 'MSTORE', 'SWAP1', 'SWAP2', 'MSTORE', 'SWAP1', 'KECCAK256', 'SLOAD', 'DUP3', 'DUP2', 'LT', 'ISZERO']",40,-16.0
169,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block139.1_input,4.0,8,True,False,8,0.0,0.02,POP POP POP POP ,4,4.0,0,0,4.0,"['POP', 'POP', 'POP', 'POP']",4,0.0
170,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block2_input,4.0,10,True,False,10,0.0,0.017,POP PUSH 4 CALLDATASIZE LT ,4,4.0,2,1,5.0,"['POP', 'PUSH1', 'CALLDATASIZE', 'LT']",5,0.0
171,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block206_input,6.0,18,True,False,24,6.0,0.024,PUSH 11 PUSH 4 MSTORE PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH 0 MSTORE ,6,6.0,2,4,41.0,"['PUSH4', 'PUSH1', 'SHL', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE']",16,-25.0
172,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block180_input,3.0,8,True,False,8,0.0,0.019,SWAP1 POP SWAP1 ,3,3.0,0,0,3.0,"['SWAP2', 'SWAP1', 'POP']",3,0.0
