,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
90,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block108_input,27.0,81,True,False,93,12.0,23.181,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSH 207a65726f000000000000000000000000000000000000000000000000000000 PUSH 64 DUP3 ADD PUSH 20 DUP4 PUSH 4 ADD MSTORE PUSH 25 DUP4 PUSH 24 ADD MSTORE PUSH 45524332303a2064656372656173656420616c6c6f77616e63652062656c6f77 PUSH 44 DUP5 ADD MSTORE MSTORE PUSH 84 ADD ,27,27.0,11,11,131.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH5', 'PUSH1', 'SHL', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",81,-50.0
91,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block16_input,2.0,5,True,False,5,0.0,0.008,POP SWAP1 ,2,2.0,0,0,2.0,"['POP', 'SWAP1']",2,0.0
92,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block200_input,5.0,13,True,False,13,0.0,0.022,POP SWAP1 POP CALLDATALOAD SWAP1 ,5,5.0,1,0,5.0,"['POP', 'CALLDATALOAD', 'SWAP2', 'SWAP1', 'POP']",5,0.0
93,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block13_input,4.0,12,True,False,12,0.0,0.024,DUP3 DUP2 GT ISZERO ,4,4.0,2,0,4.0,"['DUP3', 'DUP2', 'GT', 'ISZERO']",4,0.0
94,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block142_input,16.0,772,True,False,790,18.0,4.495,PUSH 40 PUSH 0 KECCAK256 SLOAD DUP2 DUP2 LT DUP4 PUSH ffffffffffffffffffffffffffffffffffffffff AND PUSH 0 MSTORE ISZERO PUSH 4 PUSH 20 MSTORE ,18,16.0,7,5,41.0,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP3', 'AND', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE', 'PUSH1', 'SWAP1', 'KECCAK256', 'SLOAD', 'DUP2', 'DUP2', 'LT', 'ISZERO']",29,-12.0
95,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block8_input,3.0,9,True,False,9,0.0,0.012,DUP1 PUSH ca706bcf EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
96,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block215_input,5.0,15,True,False,15,0.0,0.029,PUSH 0 DUP3 DUP3 LT ISZERO ,5,5.0,2,1,6.0,"['PUSH1', 'DUP3', 'DUP3', 'LT', 'ISZERO']",6,0.0
97,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block89_input,9.0,54,True,False,57,3.0,0.205,DUP3 ADD SWAP2 PUSH 20 PUSH 0 KECCAK256 SWAP2 PUSH 0 MSTORE ,10,9.0,3,2,12.0,"['DUP3', 'ADD', 'SWAP2', 'SWAP1', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'KECCAK256', 'SWAP1']",13,1.0
98,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block83_input,5.0,10,True,False,10,0.0,0.02,POP POP POP POP POP ,5,5.0,0,0,5.0,"['POP', 'POP', 'POP', 'POP', 'POP']",5,0.0
99,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block79_input,6.0,18,True,False,18,0.0,0.022,PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1 ,6,6.0,2,1,7.0,"['PUSH1', 'MLOAD', 'DUP1', 'SWAP2', 'SUB', 'SWAP1']",7,0.0
