,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
34,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block18_input,4.0,12,True,False,15,3.0,0.03,PUSHTAG 17 SWAP1 PUSH 40 MLOAD ,5,4.0,2,1,9.0,"['PUSH1', 'MLOAD', 'PUSHTAG', 'SWAP2', 'SWAP1']",10,1.0
35,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block73_input,16.0,772,True,False,793,21.0,8.269,PUSH 40 PUSH 0 KECCAK256 DUP4 PUSH ffffffffffffffffffffffffffffffffffffffff AND PUSH 0 MSTORE SLOAD PUSH 0 PUSH 20 MSTORE DUP2 DUP2 LT ISZERO ,19,16.0,7,4,41.0,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP4', 'AND', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'DUP2', 'SWAP1', 'MSTORE', 'PUSH1', 'SWAP1', 'KECCAK256', 'SLOAD', 'DUP2', 'DUP2', 'LT', 'ISZERO']",29,-12.0
36,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block24_input,4.0,12,True,False,12,0.0,0.019,DUP1 DUP3 GT ISZERO ,4,4.0,2,0,4.0,"['DUP1', 'DUP3', 'GT', 'ISZERO']",4,0.0
37,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block111_input,6.0,18,True,False,24,6.0,0.015,PUSH 11 PUSH 4 MSTORE PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH 0 MSTORE ,6,6.0,2,4,41.0,"['PUSH4', 'PUSH1', 'SHL', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE']",16,-25.0
38,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block72_input,27.0,81,True,False,93,12.0,25.479,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSH 6573730000000000000000000000000000000000000000000000000000000000 PUSH 64 DUP3 ADD PUSH 20 DUP4 PUSH 4 ADD MSTORE PUSH 23 DUP4 PUSH 24 ADD MSTORE PUSH 45524332303a207472616e7366657220746f20746865207a65726f2061646472 PUSH 44 DUP5 ADD MSTORE MSTORE PUSH 84 ADD ,27,27.0,11,11,131.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH3', 'PUSH1', 'SHL', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",79,-52.0
39,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block112_input,3.0,8,True,False,8,0.0,0.018,POP ADD SWAP1 ,3,3.0,1,0,3.0,"['POP', 'ADD', 'SWAP1']",3,0.0
40,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block9_input,3.0,9,True,False,9,0.0,0.014,DUP1 PUSH dd62ed3e EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
41,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block13_input,3.0,9,True,False,9,0.0,0.014,DUP1 PUSH 18160ddd EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
42,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block79_input,4.0,12,True,False,12,0.0,0.017,DUP2 DUP2 LT ISZERO ,4,4.0,2,0,4.0,"['DUP2', 'DUP2', 'LT', 'ISZERO']",4,0.0
43,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block9_input,7.0,718,True,False,724,6.0,0.104,DUP1 PUSH 2 PUSH 0 PUSHTAG 18 DUP5 DUP4 SLOAD ,9,7.0,2,2,13.0,"['DUP1', 'PUSH1', 'PUSH1', 'DUP3', 'DUP3', 'SLOAD', 'PUSHTAG', 'SWAP2', 'SWAP1']",15,2.0
44,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block44_input,9.0,54,True,False,57,3.0,0.181,DUP3 ADD SWAP2 PUSH 20 PUSH 0 KECCAK256 SWAP2 PUSH 0 MSTORE ,10,9.0,3,2,12.0,"['DUP3', 'ADD', 'SWAP2', 'SWAP1', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'KECCAK256', 'SWAP1']",13,1.0
45,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block2_input,4.0,10,True,False,10,0.0,0.015,POP PUSH 4 CALLDATASIZE LT ,4,4.0,2,1,5.0,"['POP', 'PUSH1', 'CALLDATASIZE', 'LT']",5,0.0
46,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block95_input,10.0,27,True,False,35,8.0,7.631,SWAP5 POP POP POP SWAP3 SWAP1 PUSH 40 ADD CALLDATALOAD SWAP1 ,13,10.0,2,1,11.0,"['SWAP2', 'POP', 'PUSH1', 'DUP5', 'ADD', 'CALLDATALOAD', 'SWAP1', 'POP', 'SWAP3', 'POP', 'SWAP3', 'POP', 'SWAP3']",14,3.0
47,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block7_input,3.0,9,True,False,9,0.0,0.016,DUP1 PUSH a457c2d7 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
48,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block94_input,6.0,17,True,False,17,0.0,0.085,SWAP3 POP PUSHTAG 151 PUSH 20 DUP6 ADD ,6,6.0,2,1,11.0,"['SWAP3', 'POP', 'PUSHTAG', 'PUSH1', 'DUP6', 'ADD']",11,0.0
49,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block64_input,3.0,9,True,False,21,12.0,0.025,PUSH ffffffffffffffffffffffffffffffffffffffff DUP4 AND ,3,3.0,1,1,23.0,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP4', 'AND']",10,-13.0
50,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block56_input,6.0,18,True,False,24,6.0,0.016,PUSH 22 PUSH 4 MSTORE PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH 0 MSTORE ,6,6.0,2,4,41.0,"['PUSH4', 'PUSH1', 'SHL', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE']",16,-25.0
51,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block26_input,6.0,18,True,False,24,6.0,0.016,PUSH 41 PUSH 4 MSTORE PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH 0 MSTORE ,6,6.0,2,4,41.0,"['PUSH4', 'PUSH1', 'SHL', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE']",16,-25.0
52,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block90_input,9.0,24,True,False,30,6.0,0.707,SWAP5 SWAP4 POP POP POP PUSH 20 ADD CALLDATALOAD SWAP1 ,11,9.0,2,1,10.0,"['SWAP5', 'PUSH1', 'SWAP4', 'SWAP1', 'SWAP4', 'ADD', 'CALLDATALOAD', 'SWAP4', 'POP', 'POP', 'POP']",12,2.0
53,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block99_input,5.0,12,True,False,12,0.0,0.031,SWAP3 POP POP POP SWAP1 ,5,5.0,0,0,5.0,"['SWAP4', 'SWAP3', 'POP', 'POP', 'POP']",5,0.0
54,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block40_input,,,False,True,794,,30.105,,31,,11,3,,"['DUP1', 'PUSH1', 'ADD', 'PUSH1', 'DUP1', 'SWAP2', 'DIV', 'MUL', 'PUSH1', 'ADD', 'PUSH1', 'MLOAD', 'SWAP1', 'DUP2', 'ADD', 'PUSH1', 'MSTORE', 'DUP1', 'SWAP3', 'SWAP2', 'SWAP1', 'DUP2', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'DUP3', 'DUP1', 'SLOAD', 'PUSHTAG', 'SWAP1']",41,
55,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block109_input,4.0,10,True,False,10,0.0,0.017,POP SWAP2 SWAP1 POP ,4,4.0,0,0,4.0,"['POP', 'SWAP2', 'SWAP1', 'POP']",4,0.0
56,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block87_input,8.0,24,True,False,24,0.0,0.069,PUSH 0 PUSH 0 PUSH 40 DUP4 DUP6 SUB SLT ISZERO ,8,8.0,3,2,11.0,"['PUSH1', 'DUP1', 'PUSH1', 'DUP4', 'DUP6', 'SUB', 'SLT', 'ISZERO']",10,-1.0
57,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block43_input,7.0,21,True,False,33,12.0,0.054,DUP3 MLOAD PUSH ffffffffffffffff DUP1 DUP3 GT ISZERO ,7,7.0,3,1,15.0,"['DUP3', 'MLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP1', 'DUP3', 'GT', 'ISZERO']",14,-1.0
58,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block58_input,5.0,712,True,False,715,3.0,0.023,PUSH 60 PUSH 4 PUSHTAG 64 DUP2 SLOAD ,6,5.0,2,2,11.0,"['PUSH1', 'PUSH1', 'DUP1', 'SLOAD', 'PUSHTAG', 'SWAP1']",12,1.0
59,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block53_input,6.0,18,True,False,18,0.0,0.02,PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1 ,6,6.0,2,1,7.0,"['PUSH1', 'MLOAD', 'DUP1', 'SWAP2', 'SUB', 'SWAP1']",7,0.0
60,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block35_input,3.0,8,True,False,8,0.0,0.015,PUSH 0 SWAP2 POP ,3,3.0,0,1,4.0,"['PUSH1', 'SWAP2', 'POP']",4,0.0
61,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block45_input,12.0,733,True,False,736,3.0,0.824,PUSH 1 DUP3 ADD SWAP2 SLOAD DUP2 MSTORE PUSH 20 ADD DUP1 DUP4 GT ,13,12.0,5,2,14.0,"['DUP2', 'SLOAD', 'DUP2', 'MSTORE', 'SWAP1', 'PUSH1', 'ADD', 'SWAP1', 'PUSH1', 'ADD', 'DUP1', 'DUP4', 'GT']",15,1.0
62,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block42_input,3.0,9,True,False,9,0.0,0.009,DUP1 PUSH 1f LT ,3,3.0,1,1,4.0,"['DUP1', 'PUSH1', 'LT']",4,0.0
63,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block4_input,3.0,9,True,False,9,0.0,0.012,DUP1 PUSH 39509351 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
